Browser,2014,2015,2016,2017,2018,2019
Chrome,48.78,54.37,61.17,63.4,68.02,69.98
IE,23.19,18.88,12.11,8.99,6.64,4.86
Firefox,19.57,17.54,15.45,13.9,11.03,9.5
Safari,5.0,5.06,4.78,5.47,5.38,6.83
Opera,1.43,1.81,1.89,2.09,2.35,2.4
360 Safe Browser,0.66,0.3,0.17,0.11,0.06,0.04
Yandex Browser,0.35,0.45,0.5,0.52,0.44,0.43
Maxthon,0.26,0.25,0.19,0.14,0.11,0.08
Sogou Explorer,0.19,0.23,0.16,0.15,0.13,0.13
QQ Browser,0.11,0.14,0.1,0.14,0.2,0.17
Chromium,0.1,0.14,0.16,0.17,0.15,0.17
Coc Coc,0.04,0.12,0.28,0.31,0.24,0.25
Mozilla,0.03,0.04,0.04,0.04,0.04,0.08
Pale Moon,0.02,0.03,0.03,0.03,0.03,0.02
Other,0.05,0.05,0.06,0.06,0.06,0.05
